Symbol,Name,Qty,InvestedValue,CurrentValue
RELIANCE,Reliance Industries Ltd,50,3500000,4200000
HDFCBANK,HDFC Bank Ltd,100,2500000,3100000
TCS,Tata Consultancy Services,75,1875000,2250000
INFY,Infosys Ltd,150,1125000,1575000
ICICIBANK,ICICI Bank Ltd,200,1400000,2000000
KOTAKBANK,Kotak Mahindra Bank,100,650000,800000
ASIANPAINT,Asian Paints Ltd,50,1250000,1500000
BAJAJFINSV,Bajaj Finserv Ltd,30,900000,1350000
WIPRO,Wipro Ltd,200,800000,1000000
MARUTI,Maruti Suzuki Ltd,60,800000,900000
HINDUNILVR,Hindustan Unilever Ltd,100,750000,850000
NESTLEIND,Nestle India Ltd,40,1200000,1450000
TITAN,Titan Company Ltd,75,675000,900000
LTTS,LT Technologies Ltd,50,625000,750000
BAJAJHOTEL,Bajaj Hotels Ltd,200,600000,800000
SBILIFE,SBI Life Insurance,100,500000,650000
HCLTECH,HCL Technologies,150,825000,900000
JSWSTEEL,JSW Steel Ltd,300,450000,600000
TATASTEEL,Tata Steel Ltd,250,500000,750000
ULTRASONIC,Ultratech Cement,75,1125000,1425000
SUNPHARMA,Sun Pharma,100,400000,550000
DMART,Avenue Supermarts Ltd,50,850000,1050000
BRITANNIA,Britannia Ltd,50,1000000,1100000
IDEA,Idea Cellular Ltd,1000,250000,300000
EICHERMOT,Eicher Motors,25,875000,975000
YESBANK,Yes Bank,2000,400000,500000
BANKNIFTY,Bank Nifty (Index Fund),100,1000000,1200000
NIFTYBEES,Nifty BEES (Index Fund),200,800000,900000
GOLDBEES,Gold BEES (Gold ETF),50,250000,275000
LIQUID,Liquid Mutual Fund,5000,500000,510000
